sitename,latitude,longitude,address1,address2,city,country,product_type,production_processes,male_worker_percent,female_worker_percent,workers_committee_or_union,total_workers
ZHEJIANG SHENGLI PLASTIC CO LTD,25.20178395,117.9520405,No.898,Huangjiao Road,Zhejiang,China,General Merchandise,Main production Site,43%,57%,Yes,447
Guangdong Guanghaida Industrial Co Ltd,25.09017922,119.3983531,No. 8 Panlong Street,"Baida Industrial Zone, Baigo Dongguan",[blank],China,General Merchandise,Main production Site,58%,42%,Yes,181
Bonanza Metalware Limited,24.31607429,118.5721317,No.28,Baoyuan Road,Jiangmen,China,General Merchandise,Main production Site,50%,50%,Yes,171
ACS Textiles (Bangladesh) Ltd,[blank],[blank],Tetlabo,Rupganj,Narayanganj,Bangladesh,General Merchandise,Main production Site,68%,32%,Yes,5443
Türkiye Sise ve Cam Fabrikalari A.S. Sisecam,[blank],[blank],[blank],BOLGESI15 CADDE,ESKISEHIR,Turkey,General Merchandise,Main production Site,95%,5%,No,1438
Zakaria Shahid Industries,[blank],[blank],SHAHDIDABAD,NEAR GAGAN BRIDGE,"MORADABAD,",India,General Merchandise,Main production Site,96%,4%,Yes,479
Türkiye Sise ve Cam Fabrikalari A.S. Sisecam,[blank],[blank],[blank],MEVKIMURATLI YOLU,KIRKLARELI,Turkey,General Merchandise,Main production Site,97%,3%,No,1275
MATCERAMICA,[blank],[blank],Rua da Cerâmica,nº245,Mamede,Portugal,General Merchandise,Main production Site,28%,72%,No,246
Animal Magic Asia Ltd.,24.11994364,119.1018151,No. 50 ,"Weijian Road, Fei''eling, Shangyuan Village, ChashanDongguan Town",Dongguan,China,General Merchandise,Main production Site,26%,74%,Yes,223
Mac Carpets,[blank],[blank],10th City of Ramadan,Zones B1 & B3,Cairo,Egypt,General Merchandise,Main production Site,100%,0%,Yes,3000
Zhongshan South Star Arts & Crafts,24.72809929,118.8795474,[blank],[blank],Zhongshan,China,General Merchandise,Main production Site,51%,49%,Yes,150
"Manufacturing Co.,Ltd",24.48186343,118.8982885,No.7,ShunyeRoad,Zhongshan,China,General Merchandise,Main production Site,51%,49%,Yes,150
"Anshan Green Apple Stationery Co., Ltd. No. 5",24.653213,119.1998544,[blank],Yongning Road,Liaoning,China,General Merchandise,Main production Site,31%,69%,Yes,72
Thunder Silk Flower Factory,24.93562365,118.2727858,Peng Wu Village,Dongkeng Town,Dongguan,China,General Merchandise,Main production Site,50%,50%,Yes,96
Dongguan Chuan Sen Art&Design Factory,24.90622897,117.9641218,Lian Xing Ind. Park,Jiu Wei,Guangzhou,China,General Merchandise,Main production Site,45%,55%,Yes,22
"Qingdao Kingking Applied Chemistry Co., Ltd Environmental Industry Park,Jimo City,",24.57957184,118.4244375,[blank],[blank],Qingdao,China,General Merchandise,Main production Site,64%,36%,Yes,481
Stoneman Crafts India (Pvt.) Ltd.,[blank],[blank],A-24 & 25,EPIP,Agra,India,General Merchandise,Main production Site,92%,8%,Yes,845
Atlas Exports Enterprises,[blank],[blank],29-J Pugalur Road,Pugalur Road,Karur,India,General Merchandise,Main production Site,56%,44%,Yes,498
"Atlas Export Enterprises - Weaving Division A3 & A4 S. F. No. 128, 130,132 & 135, Karur Textile Park Karur India GM",[blank],[blank],[blank],[blank],[blank],India,General Merchandise,Main production Site,48%,52%,Yes,2289
PASABAHCE BULGARIA EAD,[blank],[blank],District “Vabel”,Industrial Area,TARGOVISHTE,Bulgaria,General Merchandise,Main production Site,52%,48%,Yes,1620
Dongguan Beaver Plastic & Metal Products,25.29311323,118.4792611,"1st & 2nd Building, no. 78Li Xiang Xi Road,",[blank],Dongguan,China,General Merchandise,Main production Site,51%,49%,No,198
"Millenarie Cutlery Manufacturing Co., Ltd. No.8",24.65383644,119.0725359,[blank],Nahuo Industrial District Yangjiang,[blank],China,General Merchandise,Main production Site,55%,45%,Yes,1144
"Guangdong Baodayi Porcelain Co., Ltd",24.64610694,118.2394357,Gouwei Area,"Cailong Village ,Fengxi",Chaozhou,China,General Merchandise,Main production Site,49%,51%,Yes,75
Bestway (Nantong) Recreation Corp.,24.32610835,118.0909763,No. 8 West Huimin Rd,Rugao Econ Development ZoneNantong,[blank],China,General Merchandise,Main production Site,52%,48%,Yes,5917
Tianjin Landmark International Industry Co.,24.73481895,118.2696433,Shang Ma Tai Industrial ZoneWu Qing Qu,[blank],Tianjin,China,General Merchandise,Main production Site,70%,30%,Yes,549
Brita Water Filter Systems Ltd,[blank],[blank],Brita House,9 Granville Way,Bicester,United Kingdom,General Merchandise,Main production Site,83%,17%,No,41
Libbey Holland,[blank],[blank],Lingedijk 8,.,Leerdam,Netherlands,General Merchandise,Main production Site,87%,13%,Yes,288
Dongguan D d Plastic Co. Ltd.,23.93307248,118.4905344,1 Cai Bai Industrial Zone Dao Jiao Town,[blank],Dongguan,China,General Merchandise,Main production Site,50%,50%,Yes,155
Leiston,[blank],[blank],George East House ware LTDUnit 1-5 MASTERLORD INDUSTRIALLEISTON United KingdomGM,[blank],[blank],United Kingdom,General Merchandise,Main production Site,59%,41%,Yes,49
"Liling Top Collection Industrial Co., Ltd. xiejia group,",23.94310407,118.3047094,[blank],longhuwan village,Liling,China,General Merchandise,Main production Site,38%,62%,Yes,945
Zaber & Zubair Fabrics ltd,[blank],[blank],"pagar, tongi, Gazipur -1710.Bangladesh.",[blank],Gazipur,Bangladesh,General Merchandise,Main production Site,80%,20%,Yes,8903
TREND GLASS SP. Z O.O.,[blank],[blank],Zubrzyckiego 11,26-600,Radom,Poland,General Merchandise,Main production Site,53%,47%,No,882
Arfai industria de faianças lda,[blank],[blank],Rua do depósito de àgua tojeira,[blank],alcobaça,Portugal,General Merchandise,Main production Site,22%,78%,No,100
"Shuang Yi stainless steel products factory Hong San Industrial Area Cai Tang Town, Chao An DistricChaozhou China GM",24.65244684,118.3010992,[blank],[blank],[blank],China,General Merchandise,Main production Site,56%,44%,Yes,18
Gi-Go Toys (Huizhou) Co. Ltd,25.08153509,117.8132086,The North Side of ScienceTechnology and,[blank],"Park, Tiechang Huizhou China",China,General Merchandise,Main production Site,31%,69%,Yes,377
