supplier,sitename,latitude,longitude,address1,address2,address3,city,country,product_type,total_workers,female_worker_percent,male_worker_percent,migrant_workers,workers_committee_or_union,production_processes,exported_from
[blank],"Wenshang County
Jiacheng Garment Ltd",24.90269238,118.7728406,Liulou Village,"Wenshang
County",[blank],Jining,China,Clothing,226,98%,2%,0%,Yes,"Main Production
Site",Shanghai
[blank],VISHNU CLOTHING COMPANY,1,1,S.F. NO.45 VENUS GARDEN,MANGALAM ROAD,ANDIPALAYAM,Tiripur,India,Clothing,175,29%,71%,0%,Yes,Main Production Site,[blank]
[blank],"YANTAI LANGLANG
FASHION LIMITED",25.14099509,119.0649698,"NO.27 HAIXING
ROAD ,",HAIYANG CITY,[blank],Haiyang,China,Clothing,175,59%,41%,29%,Yes,"Main Production
Site",Shanghai
"KDS Fashion
Limited",KDS Fashion Limited,1,1,"KDS Fashion
Limited","253, 254
Nasirabad I/A,",[blank],Chittagong,Bangladesh,Clothing,3800,79%,21%,0%,Yes,"Main Production
Site",[blank]
[blank],CIXI KINGTONG SHOES FACTORY,24.83730849,118.8110592,"No. 281,
Zhangxin North Road",Xiaolin Town,[blank],Cixi,China,Clothing,39,79%,21%,90%,Yes,Main Production Site,Shanghai
[blank],CLIFTON EXPORT PRIVATE LIMITED,1,1,"SF NO
108/3E,Sedapala yam road,","Karaipudhur village,Arulpura
m",[blank],Tirupur,India,Clothing,686,32%,68%,0%,Yes,Main Production Site,[blank]
[blank],"Sihui Weilong Shoes , Co ,
Ltd",25.30073835,117.9287457,"No 3 , Hexi Rd","ZhenShan
District",[blank],Sihui City,China,Clothing,190,88%,12%,5%,Yes,"Main Production
Site",Shanghai
[blank],Hela – Naula,1,1,"Hela Clothing
(pvt) Ltd",Aranagala,[blank],Naula,Sri Lanka,Clothing,653,81%,19%,0%,Yes,"Main Production
Site",[blank]
[blank],Partyime Costume and Lingerie (Yiwu) factory,24.66575223,119.2455531,"No. 251,
Huachuan North Road","Chian Town,",[blank],Yiwu City,China,Clothing,92,48%,52%,92%,Yes,Main Production Site,Shanghai
[blank],L'usine Fashions Ltd,1,1,"Chonnapara,
Sreepur",Gazipur,[blank],Gazipur,Bangladesh,Clothing,948,40%,60%,0%,Yes,"Main Production
Site",[blank]
"Aman
Knittings Ltd",Aman Knittings Ltd,1,1,"Kulashur,
Hemayetpur",Savar,[blank],"Savar, Dhaka",Bangladesh,Clothing,1372,45%,55%,0%,Yes,"Main Production
Site",[blank]
[blank],"Nantong Aike Garment
Company Ltd",24.52850188,118.3471158,"Group 17
Huanchi Village",Jiangan Town,[blank],Rugao City,China,Clothing,148,82%,18%,5%,Yes,"Main Production
Site",Shanghai
[blank],"Progress Apparels
(Bangladesh) Ltd.",1,1,MS-SFB-01 & 02,Adamjee EPZ,Narayanganj,Dhaka,Bangladesh,Clothing,2694,76%,24%,0%,Yes,"Main Production
Site",[blank]
[blank],"Haiyang Yingtong Woollen Sweater Co., Ltd",25.28640675,118.8813717,"No.7 Fangyuan Road, Haiyang",City Shandong Province. China.,[blank],Haiyang,China,Clothing,257,65%,35%,13%,Yes,Main Production Site,Shanghai
[blank],"DINGTAO FITEX APPRAREL
CO,.LTD",24.2630794,119.2110329,"Yantai Industrial
Park",East LuHua Road,"DingTao Town,",Heze,China,Clothing,144,96%,4%,0%,Yes,"Main Production
Site",Shanghai
[blank],"Fuzhou Starrising
Industrial Co Ltd",24.73982602,117.7196876,"No.16 Liang An
Road,",shanggan town,minhou district,Fuzhou,China,Clothing,141,65%,35%,86%,Yes,"Main Production
Site",Shanghai
